Trial,Score,Num_Rules,Avg_Fraud_Rate,Fraud_Detection_Rate,max_rules_per_run,min_subset_size_absolute,min_subset_size_percent,max_iterations,num_runs,ga_num_generations,ga_population_size,ga_num_parents,ga_mutation_percent,max_features_per_rule,feature_reuse_penalty,min_threshold_value,LESS_LOOKUP_RULE_POSITION
86,1.08,4,0.1016941875582494,1.0,4,164,0.0032876033865229678,5,1,218,136,31,26,4,0.18601142311532096,0.009900428310932696,5
90,1.08,4,0.12984173286754358,1.0,8,66,0.002439317365398876,8,1,200,152,34,32,6,0.510545725487678,0.009151500789063034,6
91,1.08,4,0.08419745810541673,1.0,5,57,0.00390841044045048,12,1,293,129,32,32,4,0.20622847761189664,0.00925932445789113,5
93,1.08,4,0.05991522049977474,1.0,5,36,0.005650501459076219,12,1,291,129,33,35,5,0.2324991919061603,0.009576655758638851,5
94,1.08,4,0.22541936068447863,1.0,4,38,0.0014911236423978283,7,1,207,159,33,37,6,0.23499894710062977,0.009651100430575656,5
99,1.08,4,0.092833041766021,1.0,6,60,0.003061137885109034,11,1,191,163,30,16,4,0.27873341880337504,0.006990164998361369,5
3,1.06,3,0.2942341548266242,1.0,10,150,0.001532857633090917,9,1,90,181,29,30,8,0.12213006861940365,0.003192751966989777,3
6,1.06,3,0.07704506748824065,1.0,10,89,0.005491024333725884,7,1,298,133,26,9,5,0.46167427660398075,0.0012387901930001155,8
16,1.06,3,0.07936749550083394,1.0,10,147,0.005952248083612836,6,1,300,144,29,33,4,0.1284602059519837,0.00013365921929233272,4
17,1.06,3,0.0805770958471561,1.0,5,96,0.005474198820980494,8,1,300,188,28,31,4,0.5772972110997723,0.0008869494144210882,5
18,1.06,3,0.0830194759040679,1.0,5,95,0.005324339801978634,8,1,300,165,25,30,5,0.5680539716925072,0.0020400535284122406,5
21,1.06,3,0.1016237870997473,1.0,5,101,0.0042077361072315154,9,1,50,175,24,17,5,0.32889742715765535,0.002124530268582703,8
25,1.06,3,0.06630566985494239,1.0,9,158,0.007259714179102123,7,1,269,141,33,27,6,0.2932264094346204,0.002991207428643181,4
26,1.06,3,0.25914771073963044,1.0,12,157,0.0015149898606003163,7,1,271,140,32,39,6,0.4381496870278554,0.0029852759015811022,4
29,1.06,3,0.30088685170081597,1.0,12,117,0.0013430267037727638,6,1,219,126,40,36,5,0.17177138079150073,0.0014019488070692442,4
30,1.06,3,0.11518613976929297,1.0,11,48,0.003500431531113655,6,1,217,126,27,36,5,0.1815391131970704,0.0012157080520375418,8
32,1.06,3,0.1320807352540096,1.0,13,172,0.003258082796790449,10,1,164,156,36,14,8,0.47512446068277986,0.0056932246865468335,8
34,1.06,3,0.158995427385519,1.0,13,35,0.0028172391660475065,10,1,249,155,31,37,8,0.47407206932307916,0.0063658127407985494,3
35,1.06,3,0.17448477768215362,1.0,13,35,0.0023048274789533255,9,1,243,156,36,36,6,0.3606084543927822,0.00523241599235383,5
37,1.06,3,0.1929189936946586,1.0,11,30,0.0021009126667314,14,1,249,157,30,38,6,0.3939184720061918,0.003450765172957212,4
40,1.06,3,0.330128086443506,1.0,11,61,0.001076815344938933,15,1,281,180,39,38,10,0.25326924812247387,0.004111870818940369,4
47,1.06,3,0.09388328673343806,1.0,12,64,0.004518899926210344,12,1,283,190,37,7,6,0.19209598340877287,0.0016779737302912328,3
48,1.06,3,0.20379435141951188,1.0,12,62,0.002195342625814914,12,1,258,164,37,38,6,0.33330411620907563,0.003505607713303305,3
51,1.06,3,0.2276826013218325,1.0,9,58,0.001997746279354453,12,1,203,132,37,24,4,0.31322980838656544,0.0032429130155795867,4
